Date,Close/Last,Volume,Open,High,Low
02/26/2025,$214.35,39120600,$214.94,$218.16,$213.09
02/25/2025,$212.80,58957980,$211.63,$213.34,$204.16
02/24/2025,$212.71,42387590,$217.45,$217.715,$212.42
02/21/2025,$216.58,55323850,$223.28,$223.31,$214.74
02/20/2025,$222.88,30001670,$224.775,$225.13,$221.81
02/19/2025,$226.63,28566710,$225.52,$226.83,$223.71
02/18/2025,$226.65,42975130,$228.82,$229.30,$223.72
02/14/2025,$228.68,27031080,$229.20,$229.89,$227.23
02/13/2025,$230.37,31346510,$228.85,$230.42,$227.52
02/12/2025,$228.93,32285250,$230.46,$231.18,$228.16
02/11/2025,$232.76,23713730,$231.92,$233.44,$230.13
02/10/2025,$233.14,35419930,$230.545,$233.92,$229.20
02/07/2025,$229.15,77539280,$232.50,$234.81,$228.06
02/06/2025,$238.83,60897100,$238.01,$239.6599,$236.01
02/05/2025,$236.17,38832040,$237.02,$238.32,$235.20
02/04/2025,$242.06,29713810,$239.01,$242.52,$238.03
02/03/2025,$237.42,37285870,$234.06,$239.25,$232.90
01/31/2025,$237.68,36162380,$236.50,$240.29,$236.41
01/30/2025,$234.64,32020730,$237.14,$237.95,$232.22
01/29/2025,$237.07,26091720,$239.015,$240.39,$236.15
01/28/2025,$238.15,41587190,$234.29,$241.77,$233.98
01/27/2025,$235.42,49428330,$226.21,$235.61,$225.86
01/24/2025,$234.85,25890740,$234.50,$236.40,$232.93
01/23/2025,$235.42,26404360,$234.10,$235.52,$231.51
01/22/2025,$235.01,41448220,$232.02,$235.44,$231.19
01/21/2025,$230.71,39951460,$228.90,$231.78,$226.94
01/17/2025,$225.94,42370120,$225.84,$226.51,$223.08
01/16/2025,$220.66,24757280,$224.42,$224.65,$220.31
01/15/2025,$223.35,31291260,$222.83,$223.57,$220.75
01/14/2025,$217.76,24711650,$220.44,$221.82,$216.20
01/13/2025,$218.46,27262660,$218.06,$219.40,$216.47
01/10/2025,$218.94,36811530,$221.46,$221.71,$216.50
01/08/2025,$222.13,25033290,$223.185,$223.52,$220.20
01/07/2025,$222.11,28084160,$227.90,$228.381,$221.46
01/06/2025,$227.61,31849830,$226.78,$228.835,$224.84
01/03/2025,$224.19,27515610,$222.505,$225.36,$221.62
01/02/2025,$220.22,33956580,$222.03,$225.15,$218.19
12/31/2024,$219.39,24819660,$222.965,$223.2299,$218.94
12/30/2024,$221.30,28321240,$220.06,$222.9972,$218.43
12/27/2024,$223.75,27367150,$225.60,$226.03,$220.90
12/26/2024,$227.05,16174500,$228.50,$228.50,$226.6706
12/24/2024,$229.05,15007500,$226.94,$229.14,$226.13
12/23/2024,$225.06,28070010,$225.01,$226.88,$223.90
12/20/2024,$224.92,88279180,$219.84,$226.21,$218.73
12/19/2024,$223.29,39918740,$224.91,$226.09,$222.92
12/18/2024,$220.52,43281440,$230.77,$231.3999,$220.11
12/17/2024,$231.15,35948130,$232.39,$232.73,$227.85
12/16/2024,$232.93,37552100,$230.23,$233.00,$228.01
12/13/2024,$227.46,28768080,$228.40,$230.20,$225.8608
12/12/2024,$228.97,28204080,$229.83,$231.09,$227.63
12/11/2024,$230.26,35385790,$226.41,$231.20,$226.26
12/10/2024,$225.04,31199860,$226.09,$229.06,$224.2002
12/09/2024,$226.09,46819360,$227.21,$230.08,$225.67
12/06/2024,$227.03,44178070,$220.75,$227.15,$220.60
12/05/2024,$220.55,41140220,$218.03,$222.15,$217.30
12/04/2024,$218.16,48745720,$215.96,$220.00,$215.75
12/03/2024,$213.44,32214830,$210.31,$214.02,$209.65
12/02/2024,$210.71,39523190,$209.96,$212.99,$209.5101
11/29/2024,$207.89,24892450,$205.83,$208.20,$204.59
11/27/2024,$205.74,28061640,$206.98,$207.64,$205.05
11/26/2024,$207.86,41673740,$201.90,$208.00,$201.79
11/25/2024,$201.45,40685670,$199.28,$201.9499,$199.00
11/22/2024,$197.12,31530840,$198.25,$199.2599,$196.75
11/21/2024,$198.38,58800040,$203.49,$203.49,$195.75
11/20/2024,$202.88,32768990,$202.98,$203.13,$199.45
11/19/2024,$204.61,31197870,$199.33,$205.30,$198.78
11/18/2024,$201.70,36512470,$204.15,$204.67,$200.95
11/15/2024,$202.61,86591140,$206.76,$207.34,$199.61
11/14/2024,$211.48,42620310,$214.16,$215.90,$210.88
11/13/2024,$214.10,46212940,$209.40,$215.09,$209.14
11/12/2024,$208.91,38942920,$208.37,$209.54,$206.01
11/11/2024,$206.84,35456010,$208.50,$209.65,$205.59
11/08/2024,$208.18,36075850,$209.72,$209.9633,$207.44
11/07/2024,$210.05,52878380,$207.44,$212.25,$207.19
11/06/2024,$207.09,72292170,$200.01,$207.55,$199.14
11/05/2024,$199.50,30564780,$196.04,$199.82,$195.99
11/04/2024,$195.78,38492060,$196.45,$197.33,$194.3101
11/01/2024,$197.93,99687850,$199.00,$200.50,$197.02
10/31/2024,$186.40,75146760,$190.51,$190.60,$185.23
10/30/2024,$192.73,37707550,$194.695,$195.61,$192.42
10/29/2024,$190.83,35690160,$188.58,$191.4599,$187.815
10/28/2024,$188.39,27930840,$189.565,$190.21,$188.21
10/25/2024,$187.83,29362060,$187.85,$190.45,$187.53
10/24/2024,$186.38,21647400,$185.25,$187.11,$183.86
10/23/2024,$184.71,31937090,$188.85,$189.16,$183.69
10/22/2024,$189.70,29650590,$188.35,$191.5201,$186.975
10/21/2024,$189.07,24639390,$188.05,$189.46,$186.40
10/18/2024,$188.99,37417670,$187.15,$190.74,$186.28
10/17/2024,$187.53,25039410,$188.22,$188.94,$186.00
10/16/2024,$186.89,23456810,$187.05,$187.78,$185.61
10/15/2024,$187.69,32178930,$187.63,$188.41,$184.58
10/14/2024,$187.54,22614410,$189.78,$189.83,$187.36
10/11/2024,$188.82,25751560,$186.63,$189.9284,$186.30
10/10/2024,$186.65,27785040,$187.13,$188.134,$185.83
10/09/2024,$185.17,26343120,$182.82,$185.845,$182.05
10/08/2024,$182.72,26372090,$181.915,$183.09,$180.92
10/07/2024,$180.80,42364200,$182.95,$183.60,$180.25
10/04/2024,$186.51,41079010,$185.75,$187.60,$183.60
10/03/2024,$181.96,30204300,$183.045,$183.44,$180.875
10/02/2024,$184.76,23704060,$184.44,$186.60,$184.04
10/01/2024,$185.13,36044910,$184.90,$186.19,$183.4519
09/30/2024,$186.33,41680400,$187.14,$188.49,$184.65
09/27/2024,$187.97,36002320,$190.68,$190.90,$187.34
09/26/2024,$191.16,36334850,$194.31,$194.53,$189.54
09/25/2024,$192.53,26391140,$193.75,$193.9498,$192.16
09/24/2024,$193.96,43478930,$194.27,$195.37,$190.13
09/23/2024,$193.88,36993110,$191.64,$194.45,$190.57
09/20/2024,$191.60,100378600,$190.23,$191.84,$187.41
09/19/2024,$189.87,39543170,$190.04,$190.99,$188.47
09/18/2024,$186.43,34448130,$186.45,$188.80,$185.06
09/17/2024,$186.88,26091680,$186.85,$189.45,$186.14
09/16/2024,$184.89,26065490,$185.29,$185.81,$183.36
09/13/2024,$186.49,26495350,$187.00,$188.50,$185.91
09/12/2024,$187.00,33622480,$184.80,$187.41,$183.54
09/11/2024,$184.52,42564700,$180.095,$184.99,$175.73
09/10/2024,$179.55,36233800,$177.49,$180.50,$176.79
09/09/2024,$175.40,29037360,$174.53,$175.85,$173.51
